Elegy	War, Inc.
Around the World in 80 Days	The Life Aquatic with Steve Zissou
Presidential Reunion	Yes Man
Fun with Dick and Jane	The Aviator
Bonneville	The Legend of Pancho Barnes and the Happy Bottom Riding Club
Fight for Your Right Revisited	Funny People
Anchorman 2: The Legend Continues	My Super Ex-Girlfriend
Miami Magma	Never Back Down 2: The Beatdown
Anything's Possible	Reach for Me
Chain Letter	He Say, She Say, But What Does God Say?
Fracture	The Sensation of Sight
13	Home of the Brave
Beyond the Sea	The Princess and the Frog
Dance Flick	Lies &amp; Illusions
Admission	The Perks of Being a Wallflower
Cowboys &amp; Aliens	Munich
2B	Gun
Megamind: The Button of Doom	Oh, What a Lovely Tea Party
Chronicle	Funny People
Scooby-Doo! and the Loch Ness Monster	The Jimmy Timmy Power Hour 2: When Nerds Collide
The Conspirator	The Last of Robin Hood
Cat Run	The House Bunny
Disney Princess Enchanted Tales: Follow Your Dreams	The Land Before Time XII: The Great Day of the Flyers
Little Red Devil	The Hit
Over the Wall	The Three Burials of Melquiades Estrada
Butterfly on a Wheel	Grown Ups
As I Lay Dying	The Ape
Aunt Fanny's Tour of Booty	Foreign Exchange
American Hustle	Public Enemies
Target	The Gift Horse
Robin Hood	Touching Evil
Constantine's Sword	Salt
Fight for Your Right Revisited	Freak Dance
Grindhouse	The Bill Collector
Midnight in Paris	Rumor Has It?
Home Run	Kickin' It Old Skool
Envy	Freak Dance
Darling Companion	The Pink Panther
Planes	Streets of Blood
Dark Reel	Good Day for It
Furnace	House of the Rising Sun
Francine	The Alphabet Killer
Phineas and Ferb The Movie: Across the 2nd Dimension	Transformers Animated: Transform and Roll Out
People Like Us	Wonderful World
RV	The Final Cut
Afro Samurai: Resurrection	Soul Men
Bumped	Ghosts of Goldfield
Finding Hope	Treasure Buddies
Killer Joe	Out Of Season
Call of the Wild	The Witches of Oz
The Jimmy Timmy Power Hour 2: When Nerds Collide	The Last White Dishwasher
Big Money Rustlas	Midgets Vs. Mascots
Miss Nobody	This Might Hurt
Kill Bill Volume 2	Kung Fu Killer
The Da Vinci Treasure	The Penitent Man
Hellboy	No. 6
The Manchurian Candidate	The Reluctant Fundamentalist
Leatherheads	Ocean's Thirteen
Killshot	Sin City
Clash of the Titans	Skyfall
Once Fallen	The Curious Case of Benjamin Button
A Prairie Home Companion	No Strings Attached
2012	The Passage
Curious George	Science Ninja Team Gatchaman
Dear Lemon Lima	Frozen River
Dolphin Tale	The Contract
Halloween II	Vamps
The Fear Chamber	The Story of Bonnie and Clyde
Harsh Times	Small Apartments
Kings of the Evening	Valley of the Heart's Delight
Around the World in 80 Days	Shark Bait
American Cowslip	The Longest Yard
A Little Bit of Heaven	Fresh Cut Grass
Last Goodbye	Richard III
Doubt	Prisoners
Chronic Town	Losing Control
Jada	Let God Be the Judge
Some Guy Who Kills People	Unstoppable
Clash of the Titans	Wrath of the Titans
Holyman Undercover	My Big Fat Independent Movie
Cyxork 7	Stuntmen
Detachment	Felicity: An American Girl Adventure
A Talent for Trouble	The Under Shepherd
