Michael Clarke Duncan	Slipstream
Jeffrey Tambor	Slipstream
Jeffrey Tambor	Slipstream
Kristen Bell	Reefer Madness
Marcia Gay Harden	Canvas
Colin Firth	Gambit
Stanley Tucci	Gambit
Cloris Leachman	Gambit
Kristen Stewart	The Yellow Handkerchief
Maria Bello	The Yellow Handkerchief
Amanda Seyfried	Letters to Juliet
Oliver Platt	Letters to Juliet
Daniel Craig	Dream House
Naomi Watts	Dream House
Elias Koteas	Dream House
Stephen McHattie	Jesse Stone: Thin Ice
William Sadler	Jesse Stone: Thin Ice
Dean Cain	Ace of Hearts
Mark Strong	Welcome to the Punch
Olivia Thirlby	Dredd
Anna Kendrick	ParaNorman
John Goodman	ParaNorman
Bill Moseley	Texas Chainsaw 3D
Richard Riehle	Texas Chainsaw 3D
Ritchie Montgomery	Texas Chainsaw 3D
Tom Cruise	Oblivion
Marcia Gay Harden	American Gun
Forest Whitaker	American Gun
Amanda Seyfried	American Gun
Melissa Leo	American Gun
Olivia Wilde	Year One
Oliver Platt	Year One
Vinnie Jones	Year One
David Cross	Year One
Paul Rudd	Year One
Juno Temple	Year One
Rhoda Griffis	Year One
Bill Hader	Year One
Patricia Clarkson	Phoebe in Wonderland
Patrick Wilson	Passengers
Alec Baldwin	Lymelife
Diora Baird	Love Shack
Tim Robbins	Johnny Cash's America
Woody Harrelson	Defendor
Elias Koteas	Defendor
Woody Harrelson	Defendor
Tom Wilkinson	A Number
Jeffrey Dean Morgan	Jam
Clifton Powell	Da Block Party
William H. Macy	Come Back to Sorrento
Alfred Molina	Orchids
Forest Whitaker	Ripple Effect
Tom Wilkinson	The Best Exotic Marigold Hotel
Jason Mewes	National Lampoon's TV: The Movie
Danny Trejo	National Lampoon's TV: The Movie
Lochlyn Munro	Dance Flick
Malin ?kerman	Couples Retreat
Kristen Bell	Couples Retreat
Jason Bateman	Couples Retreat
Vince Vaughn	Couples Retreat
Ken Jeong	Couples Retreat
Colin Farrell	A Home at the End of the World
Robin Wright	A Home at the End of the World
Jennifer Coolidge	Aunt Fanny's Tour of Booty
Paul Rudd	Role Models
Elizabeth Banks	Role Models
Jane Lynch	Role Models
Matt Walsh	Role Models
Ken Jeong	Role Models
Jason Statham	Death Race
Judy Greer	The Go-Getter
Elizabeth Banks	Sexual Life
Kevin Corrigan	Sexual Life
James Franco	Maladies
David Strathairn	Maladies
Michael Clarke Duncan	Legend of a Rabbit
Tom Arnold	Legend of a Rabbit
Rosemarie DeWitt	Touchy Feely
Allison Janney	Touchy Feely
Danny Glover	Dragon Fire
Louis Mandylor	Silent Venom
Clifton Powell	When the Lights Go Out
Stephen Tobolowsky	Love Hollywood Style
Kevin Corrigan	The New Tenants
Rosario Dawson	The Blind Bastards Club
Tony Todd	Minotaur
James Remar	The Christmas Hope
Bonnie Johnson	Little Red Wagon
Tom Sizemore	Hustle
Alec Baldwin	Channel Chasers
Carlos Alazraqui	Channel Chasers
Carlos Alazraqui	The Jimmy Timmy Power Hour
Frank Welker	The Jimmy Timmy Power Hour
Jeff Bennett	Win, Lose and Kaboom
Carlos Alazraqui	Win, Lose and Kaboom
Jeff Bennett	Win, Lose and Kaboom
Edward Herrmann	Treasure Buddies
Richard Riehle	Treasure Buddies
Elaine Hendrix	Treasure Buddies
Lochlyn Munro	Treasure Buddies
Tom Kenny	The Legend of Frosty the Snowman
James Caan	Redemption
Omari Hardwick	Redemption
Christopher McDonald	Sound of Mind
Robert Forster	Room and Board
Steven Bauer	Teen Boxer
Ed Helms	The Smell of Success
Frances Conroy	The Smell of Success
Joe Chrest	House of Bones
Edrick Browne	House of Bones
Malin ?kerman	Catch .44
Bruce Willis	Catch .44
Forest Whitaker	Catch .44
Brad Dourif	Catch .44
Edrick Browne	Catch .44
Jamie Foxx	Dreamgirls
Danny Glover	Dreamgirls
Kevin Bacon	The Air I Breathe
Forest Whitaker	The Air I Breathe
Daniel Craig	The Golden Compass
Nicole Kidman	The Golden Compass
Ian McKellen	The Golden Compass
Kevin Spacey	21
Idris Elba	This Christmas
Clifton Powell	First Sunday
Keith David	First Sunday
Tony Curran	Identity
Tom Arnold	Dumbbells
Mircea Monroe	Dumbbells
Jason Mewes	The Newest Pledge
Arielle Kebbel	Brooklyn to Manhattan
Stephen Tobolowsky	Sleep Easy, Hutch Rimes
Tracy Morgan	Apollo at 70: A Hot Night in Harlem
Denzel Washington	Apollo at 70: A Hot Night in Harlem
Brett Rice	The Staircase Murders
Tim Blake Nelson	Yelling to the Sky
Lochlyn Munro	The Terror Experiment
Edrick Browne	The Terror Experiment
C. Thomas Howell	The Terror Experiment
Beau Bridges	Dirty Politics
Tom Sizemore	The Last Lullaby
Tara Reid	The Fields
Cloris Leachman	The Fields
Kellan Lutz	Meskada
Colin Farrell	Ask the Dust
