Val Kilmer	Twixt
Gary Oldman	Lawless
Jessica Chastain	Lawless
Marc Macaulay	Step Up Revolution
Jason Mewes	The Tripper
Christopher Walken	Balls of Fury
Terry Crews	Balls of Fury
David Koechner	Balls of Fury
Robert Patrick	Balls of Fury
Thomas Lennon	Balls of Fury
Woody Harrelson	Nanking
Stephen Dorff	Nanking
C. Thomas Howell	The Keeper: The Legend of Omar Khayyam
Lance Henriksen	Modigliani
Frank Welker	Scooby-Doo! Camp Scare
Stephen Root	Scooby-Doo! Camp Scare
Frank Welker	Scooby-Doo! Camp Scare
Mircea Monroe	One Long Night
Denzel Washington	The Book of Eli
Gary Oldman	The Book of Eli
Malcolm McDowell	The Book of Eli
Bob Gunton	Judas
Tony Todd	Hatchet II
Patrick Wilson	Insidious: Chapter 2
Lin Shaye	Insidious: Chapter 2
Kristen Bell	Frozen
Ciar?n Hinds	Frozen
Amy Adams	The Last Run
Ron Perlman	Nightmare Boulevard
Bruce Davison	The Lords of Salem
Dee Wallace	The Lords of Salem
M. C. Gainey	Club Dread
Bill Murray	Garfield: A Tail of Two Kitties
Mircea Monroe	House of the Dead 2
Chazz Palminteri	In the Mix
John Carroll Lynch	Looking for Comedy in the Muslim World
James Cromwell	The Longest Yard
Cloris Leachman	The Longest Yard
Tracy Morgan	The Longest Yard
Terry Crews	The Longest Yard
James Franco	Tristan &amp; Isolde
Mark Strong	Tristan &amp; Isolde
Naomi Watts	Mother and Child
Samuel L. Jackson	Mother and Child
Colin Firth	A Single Man
Julianne Moore	A Single Man
Richard Kind	A Serious Man
Kevin Corrigan	Some Guy Who Kills People
Richard Kind	The Penguins of Madagascar: ""Dr. Blowhole's Revenge
Jeff Bennett	The Penguins of Madagascar: ""Dr. Blowhole's Revenge
Jeff Bennett	The Penguins of Madagascar: ""The Lost Treasure of the Golden Squirrel
Dean Cain	Maneater
Clifton Powell	Before I Self Destruct
50 Cent	Before I Self Destruct
Samuel L. Jackson	Kill Bill Volume 2
David Carradine	Kill Bill Volume 2
Michael Madsen	Kill Bill Volume 2
Vivica A. Fox	Kill Bill Volume 2
Clifton Powell	23rd Psalm: Redemption
Michael Madsen	Garbage
Steven Bauer	Garbage
Paul Rudd	Jason Segel &amp; Paul Rudd Meet Rush
David Cross	It's a Disaster
Anna Kendrick	End of Watch
Brad Dourif	Few Options
Michael Sheen	Few Options
David Cross	Kung Fu Panda 2
Seth Rogen	Kung Fu Panda 2
Dustin Hoffman	Kung Fu Panda 2
Gary Oldman	Kung Fu Panda 2
Danny McBride	Kung Fu Panda 2
Ron Perlman	Drive
Bryan Cranston	Drive
Danny Trejo	Perfectus
Danny Trejo	Raggedy Anne
Dermot Mulroney	Trade of Innocents
Sean Astin	Amazing Love
Matt Damon	The Adjustment Bureau
Emily Blunt	The Adjustment Bureau
Anthony Mackie	The Adjustment Bureau
Rosario Dawson	Explicit Ills
Paul Dano	Explicit Ills
Beth Grant	The Ungodly
Jane Lynch	Fifty Pills
Kristen Bell	Fifty Pills
Diora Baird	Fifty Pills
Mary Steenburgen	Numb
Bob Gunton	Numb
Adam LeFevre	The Good Guy
Michael Rooker	Blood Done Sign My Name
Rhoda Griffis	Blood Done Sign My Name
Bonnie Johnson	Blood Done Sign My Name
William H. Macy	Reversible Errors
Leonardo DiCaprio	The Great Gatsby
Jesse Eisenberg	One Day Like Rain
Liev Schreiber	Reverse of the Curse of the Bambino
Lochlyn Munro	Lone
Glenn Morshower	Psychic Experiment
Lance Henriksen	The Garden
Steve Coogan	Philomena
Keith David	Double or Nothing
Michael Shannon	Bug
Christian Slater	The Ten Commandments
Alfred Molina	The Ten Commandments
Ben Kingsley	The Ten Commandments
Queen Latifah	The Perfect Holiday
Steve Buscemi	Interview
James Franco	Interview
Samuel L. Jackson	Resurrecting the Champ
Jessica Alba	The Ten
Oliver Platt	The Ten
Liev Schreiber	The Ten
Rob Corddry	The Ten
Rashida Jones	The Ten
Paul Rudd	The Ten
Bobby Cannavale	The Ten
Molly Shannon	What Goes Up
Steve Coogan	What Goes Up
Olivia Thirlby	What Goes Up
Dee Wallace	Between the Sand and the Sky
Richard Tyson	Big Bad Wolf
Clint Howard	Big Bad Wolf
Lance Henriksen	Pistol Whipped
Rob Corddry	Hell Baby
Rob Huebel	Hell Baby
Thomas Lennon	Hell Baby
James Franco	Interior. Leather Bar.
Liev Schreiber	Love in the Time of Cholera
John Leguizamo	Love in the Time of Cholera
Javier Bardem	Love in the Time of Cholera
John Leguizamo	The Babysitters
Denis O'Hare	The Babysitters
Omari Hardwick	The Male Groupie
Bill Moseley	Home Sick
Jane Lynch	Alex's Halloween
Jim Carrey	Mr. Popper's Penguins
Carla Gugino	Mr. Popper's Penguins
Frank Welker	Mr. Popper's Penguins
Philip Baker Hall	Mr. Popper's Penguins
Jeffrey Tambor	Mr. Popper's Penguins
David Carradine	Dinocroc vs. Supergator
Alec Baldwin	Under the Boardwalk: The Monopoly Story
Elizabeth Banks	Under the Boardwalk: The Monopoly Story
Samuel L. Jackson	Under the Boardwalk: The Monopoly Story
Al Pacino	88 Minutes
Neal McDonough	88 Minutes
Willem Dafoe	The Walker
Woody Harrelson	The Walker
Stephen Tobolowsky	The Last Ride
Bruce Davison	The Clinic
Matt Walsh	Breast Picture
Terry Crews	Baadasssss!
Johnny Depp	Charlie and the Chocolate Factory
Missi Pyle	Charlie and the Chocolate Factory
Jim Carrey	Lemony Snicket's A Series of Unfortunate Events
Jennifer Coolidge	Lemony Snicket's A Series of Unfortunate Events
Cloris Leachman	Spanglish
Colin Farrell	The New World
Christian Bale	The New World
Christopher Plummer	The New World
Tom Hanks	Toy Story 3
Wallace Shawn	Toy Story 3
Michael Ironside	The Veteran
Viola Davis	Trust
Jeff Bennett	Lego: The Adventures of Clutch Powers
Jane Lynch	The Three Stooges
Lin Shaye	The Three Stooges
Rosemarie DeWitt	The Odd Life of Timothy Green
Rhoda Griffis	The Odd Life of Timothy Green
Will Ferrell	The Campaign
Zach Galifianakis	The Campaign
Brian Cox	The Campaign
Lance E. Nichols	The Campaign
Ritchie Montgomery	The Lucky One
Joe Chrest	The Lucky One
Adam LeFevre	The Lucky One
Susan Sarandon	Mr. Woodcock
Amy Poehler	Mr. Woodcock
M. C. Gainey	Mr. Woodcock
Melissa Leo	Mr. Woodcock
Ed Harris	Cleaner
Samuel L. Jackson	Cleaner
Christa Campbell	Cleaner
Robert Forster	Cleaner
Ritchie Montgomery	Cleaner
Edrick Browne	Cleaner
Marc Macaulay	Cleaner
Olivia Wilde	Conversations with Other Women
Thomas Lennon	Conversations with Other Women
John Cusack	Grace Is Gone
Frank Welker	The Little Mermaid: Ariel's Beginning
Noah Segan	The Brothers Bloom
Jeffrey Dean Morgan	PS, I Love You
Gina Gershon	PS, I Love You
John C. Reilly	Cirque du Freak: The Vampire's Assistant
Willem Dafoe	Cirque du Freak: The Vampire's Assistant
Matthew McConaughey	Surfer Dude
Woody Harrelson	Surfer Dude
Ralph Fiennes	The Hurt Locker
Anthony Mackie	The Hurt Locker
Lindsay Lohan	Labor Pains
Chris Parnell	Labor Pains
Jackson Rathbone	S. Darko
Fred Willard	Billy &amp; Mandy's Big Boogey Adventure
Paul Dano	Where the Wild Things Are
Forest Whitaker	Where the Wild Things Are
Lauren Ambrose	Where the Wild Things Are
Dakota Fanning	Coraline
Keith David	Coraline
Lacey Chabert	Sherman's Way
Jeffrey Dean Morgan	Taking Woodstock
Paul Dano	Taking Woodstock
Adam LeFevre	Taking Woodstock
Josh Lucas	Death in Love
Ving Rhames	King of the Avenue
Jim Carrey	Eternal Sunshine of the Spotless Mind
David Cross	Eternal Sunshine of the Spotless Mind
Tom Wilkinson	Eternal Sunshine of the Spotless Mind
Joseph Gordon-Levitt	Mysterious Skin
Richard Riehle	Mysterious Skin
Chris Mulkey	Mysterious Skin
Tony Todd	Disciples
Bill Moseley	Disciples
Brian Cox	Blumenthal
Nicolas Cage	Bangkok Dangerous
Rip Torn	Zoom
William H. Macy	Wild Hogs
Ray Liotta	Wild Hogs
Stephen Tobolowsky	Wild Hogs
Kevin Durand	Wild Hogs
M. C. Gainey	Wild Hogs
Frank Welker	Curious George 2: Follow That Monkey!
Carlos Alazraqui	Curious George 2: Follow That Monkey!
Jeff Bennett	Curious George 2: Follow That Monkey!
Clint Howard	Curious George 2: Follow That Monkey!
Ryan Reynolds	Green Lantern
Mark Strong	Green Lantern
Tim Robbins	Green Lantern
Michael Clarke Duncan	Green Lantern
Geoffrey Rush	Green Lantern
Ritchie Montgomery	Green Lantern
Lance E. Nichols	Green Lantern
Ryan Reynolds	Green Lantern
Clint Howard	BloodRayne: The Third Reich
Mike Vogel	Cloverfield
Beau Bridges	I-See-You.Com
Gina Gershon	Three Way
James Franco	In the Valley of Elah
Tommy Lee Jones	In the Valley of Elah
Susan Sarandon	In the Valley of Elah
Josh Brolin	In the Valley of Elah
Jonah Hill	Just Add Water
Justin Long	Just Add Water
J.K. Simmons	Whiplash
Robert Patrick	Lonely Street
Bobby Cannavale	F--K
Sam Rockwell	F--K
Seth Rogen	Shrek the Third
Bruce Willis	Sin City
Jessica Alba	Sin City
Michael Madsen	Sin City
Rosario Dawson	Sin City
Michael Clarke Duncan	Sin City
Carla Gugino	Sin City
Elias Koteas	Skinwalkers
James Franco	Spider-Man 2
Alfred Molina	Spider-Man 2
J.K. Simmons	Spider-Man 2
Aasif Mandvi	Spider-Man 2
Willem Dafoe	Spider-Man 2
James Franco	Spider-Man 3
J.K. Simmons	Spider-Man 3
James Cromwell	Spider-Man 3
Elizabeth Banks	Spider-Man 3
Willem Dafoe	Spider-Man 3
Tom Kenny	Transformers Animated: Transform and Roll Out
Jeff Bennett	Transformers Animated: Transform and Roll Out
Johnny Depp	The Tourist
Michael Madsen	Afghan Knights
Paul Dano	Weapons
Philip Baker Hall	Islander
Tommy Lee Jones	The Ballad of Esequiel Hernandez
Lochlyn Munro	Infection
Danny Trejo	Dreaming on Christmas
Brian Cox	The Ringer
Mike Vogel	The Sisterhood of the Traveling Pants
Heather Graham	Baby on Board
John Goodman	Drunkboat
John Malkovich	Drunkboat
Richard Jenkins	Norman
Don Cheadle	Brooklyn's Finest
Toby Jones	The Adventures of Tintin: The Secret of the Unicorn
Daniel Craig	The Adventures of Tintin: The Secret of the Unicorn
Tony Curran	The Adventures of Tintin: The Secret of the Unicorn
Idris Elba	Takers
Ron Perlman	Season of the Witch
Nicolas Cage	Season of the Witch
Glenn Morshower	The Crazies
Jennifer Aniston	The Bounty Hunter
Forest Whitaker	Our Family Wedding
Tim Blake Nelson	Saint John of Las Vegas
Steve Buscemi	Saint John of Las Vegas
Stephen Tobolowsky	The Rainbow Tribe
Tim Blake Nelson	Blue Caprice
Susan Sarandon	Alfie
Nicole Kidman	Birth
Danny Huston	Birth
Don Cheadle	Hotel Rwanda
Joaquin Phoenix	Hotel Rwanda
Liam Neeson	Kinsey
William Sadler	Kinsey
Oliver Platt	Kinsey
Val Kilmer	Mindhunters
Christian Slater	Mindhunters
Tom Sizemore	Paparazzi
Jeff Bridges	The Door in the Floor
Bill Murray	The Life Aquatic with Steve Zissou
Owen Wilson	The Life Aquatic with Steve Zissou
Willem Dafoe	The Life Aquatic with Steve Zissou
Seymour Cassel	The Life Aquatic with Steve Zissou
Don Cheadle	La Source
Frank Welker	Garfield Gets Real
Frank Welker	Garfield Gets Real
Frank Welker	Garfield Gets Real
Frank Welker	Garfield Gets Real
Frank Welker	Garfield Gets Real
Frank Welker	Garfield Gets Real
Frank Welker	Garfield Gets Real
Christian Slater	He Was a Quiet Man
William H. Macy	He Was a Quiet Man
Woody Harrelson	Sleepwalking
Tony Curran	Shooting for Tomorrow
Bruce Davison	God Don't Make the Laws
William Sadler	Mineville
Danny Trejo	On Bloody Sunday
Vincent Pastore	Looking for Palladin
Sean Astin	Party Wagon
Keith David	ATL
Jason Statham	Chaos
Ralph Fiennes	The White Countess
Lance Henriksen	Madhouse
John Cusack	The Contract
Morgan Freeman	The Contract
Rashida Jones	Death of a Dynasty
Stephen Root	No Country for Old Men
Josh Brolin	No Country for Old Men
Woody Harrelson	No Country for Old Men
Javier Bardem	No Country for Old Men
Tommy Lee Jones	No Country for Old Men
Beth Grant	No Country for Old Men
Emily Blunt	The Great Buck Howard
John Malkovich	The Great Buck Howard
Tom Hanks	The Great Buck Howard
Adam Scott	The Great Buck Howard
Danny Trejo	The Bill Collector
Robin Williams	The Angriest Man in Brooklyn
Melissa Leo	The Angriest Man in Brooklyn
Richard Kind	The Angriest Man in Brooklyn
Nicolas Cage	Ghost Rider
Hugh Jackman	Scoop
Scarlett Johansson	Scoop
Jeff Bridges	Surf's Up
Vincent Pastore	P.J.
John Heard	P.J.
Christopher McDonald	Spooner
Mark Boone Junior	Spooner
Ray Liotta	Killing Them Softly
Brad Pitt	Killing Them Softly
Richard Jenkins	Killing Them Softly
Joe Chrest	Killing Them Softly
Bob Gunton	Decoding Annie Parker
Rashida Jones	Decoding Annie Parker
Parker Posey	Highland Park
Billy Burke	Highland Park
Danny Glover	Highland Park
Bob Gunton	Highland Park
John Carroll Lynch	Highland Park
Jane Lynch	Love is Love
Vivica A. Fox	San Saba
Lance E. Nichols	Knucklehead
Joe Chrest	Knucklehead
Edrick Browne	Knucklehead
Snoop Dogg	Freaknik: The Musical
Bill Hader	Freaknik: The Musical
Mike Epps	Jumping the Broom
Alan Arkin	Raising Flagg
Rosemarie DeWitt	Rachel Getting Married
Josh Lucas	Peacock
Susan Sarandon	Peacock
Ben Foster	Pandorum
Dennis Quaid	Pandorum
Cam Gigandet	Pandorum
Vivica A. Fox	Three Can Play That Game
Nicolas Cage	Bad Lieutenant: Port of Call New Orleans
Val Kilmer	Bad Lieutenant: Port of Call New Orleans
Brad Dourif	Bad Lieutenant: Port of Call New Orleans
Jennifer Coolidge	Bad Lieutenant: Port of Call New Orleans
Michael Shannon	Bad Lieutenant: Port of Call New Orleans
Jennifer Aniston	Love Happens
Martin Sheen	Love Happens
Frances Conroy	Love Happens
Judy Greer	Love Happens
John Carroll Lynch	Love Happens
Jeffrey Wright	Wrestling with Angels: Playwright Tony Kushner
James Franco	An American Crime
Lacey Chabert	Black Christmas
Viola Davis	Disturbia
David Strathairn	Matters of Life and Death
James Franco	Flyboys
Robert Patrick	Strange Wilderness
Justin Long	Strange Wilderness
Jonah Hill	Strange Wilderness
Idris Elba	Daddy's Little Girls
Aidan Quinn	Bobby Jones: Stroke of Genius
Malcolm McDowell	Bobby Jones: Stroke of Genius
Brett Rice	Bobby Jones: Stroke of Genius
Tom Wilkinson	The Exorcism of Emily Rose
Marcia Gay Harden	Welcome to Mooseport
Gene Hackman	Welcome to Mooseport
Rip Torn	Welcome to Mooseport
Joseph Gordon-Levitt	The Lookout
Bruce McGill	The Lookout
Carla Gugino	The Lookout
Stephen McHattie	Jesse Stone: No Remorse
William Sadler	Jesse Stone: No Remorse
Vincent Pastore	Split Ends
Carla Gugino	I Melt with You
Arielle Kebbel	I Melt with You
Robert Downey Jr.	A Scanner Darkly
Woody Harrelson	A Scanner Darkly
Will Smith	Hitch
Susan Sarandon	Noel
Alan Arkin	Noel
Robin Williams	Noel
Chazz Palminteri	Noel
Sean Penn	The Assassination of Richard Nixon
Don Cheadle	The Assassination of Richard Nixon
Naomi Watts	The Assassination of Richard Nixon
Daniel Day-Lewis	The Ballad of Jack and Rose
Beau Bridges	The Ballad of Jack and Rose
Paul Dano	The Ballad of Jack and Rose
Kris Kristofferson	The Jacket
Daniel Craig	The Jacket
Kevin Bacon	The Woodsman
Michael Shannon	The Woodsman
Seth Rogen	The Guilt Trip
Adam Scott	The Guilt Trip
Queen Latifah	Joyful Noise
Kris Kristofferson	Joyful Noise
Tara Reid	American Reunion
Jennifer Coolidge	American Reunion
Ben Foster	Contraband
Liam Neeson	Battleship
Elizabeth Banks	What to Expect When You're Expecting
Dennis Quaid	What to Expect When You're Expecting
Anna Kendrick	What to Expect When You're Expecting
Tim Blake Nelson	Detachment
Bryan Cranston	Detachment
James Caan	Detachment
Marcia Gay Harden	Detachment
Jason Statham	Safe
Heather Graham	Shoedog
Kris Kristofferson	Shoedog
Heather Graham	The Friday Principal
Zach Galifianakis	The Biggest Schmucks in the World
Rob Schneider	The Benchwarmers
Lochlyn Munro	The Benchwarmers
Terry Crews	The Benchwarmers
Kevin Spacey	The Men Who Stare at Goats
Jeff Bridges	The Men Who Stare at Goats
George Clooney	The Men Who Stare at Goats
Glenn Morshower	The Men Who Stare at Goats
Stephen Root	The Men Who Stare at Goats
Robert Patrick	The Men Who Stare at Goats
Melanie Lynskey	Helena from the Wedding
Bruce Willis	Live Free or Die Hard
Justin Long	Live Free or Die Hard
Brad Pitt	Mr. &amp; Mrs. Smith
Vince Vaughn	Mr. &amp; Mrs. Smith
Keith David	Mr. &amp; Mrs. Smith
Michelle Monaghan	Mr. &amp; Mrs. Smith
Ryan Reynolds	The Amityville Horror
Philip Baker Hall	The Amityville Horror
Chlo? Moretz	The Amityville Horror
Liam Neeson	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
Michael Madsen	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
Willem Dafoe	XXX: State of the Union
Samuel L. Jackson	XXX: State of the Union
Mike Epps	The Honeymooners
Cedric the Entertainer	The Honeymooners
John Leguizamo	The Honeymooners
Tim Blake Nelson	Warm Springs
Kathy Bates	Warm Springs
Ralph Fiennes	In Bruges
Colin Farrell	In Bruges
Ciar?n Hinds	In Bruges
Elaine Hendrix	Good Intentions
Eric Roberts	Stealing Las Vegas
Josh Brolin	Murder Book
Liam Neeson	The Other Man
Rachel McAdams	Sherlock Holmes
Robert Downey Jr.	Sherlock Holmes
Mark Strong	Sherlock Holmes
Chris Evans	The Loss of a Teardrop Diamond
Rhoda Griffis	The Loss of a Teardrop Diamond
Alec Baldwin	It's Complicated
50 Cent	Infamous Times: The Original 50 Cent
Dwayne Johnson	The Game Plan
Vince Vaughn	Fred Claus
Paul Giamatti	Fred Claus
Elizabeth Banks	Fred Claus
Kevin Spacey	Fred Claus
Kathy Bates	Fred Claus
Edward Norton	The Painted Veil
Liev Schreiber	The Painted Veil
Naomi Watts	The Painted Veil
Toby Jones	The Painted Veil
Philip Baker Hall	The Zodiac
Christa Campbell	Mosquito Man
Joseph Gordon-Levitt	Don Jon
Julianne Moore	Don Jon
Scarlett Johansson	Don Jon
Channing Tatum	Don Jon
Kevin Durand	Fruitvale Station
Rob Corddry	In a World...
Kathryn Hahn	Afternoon Delight
Juno Temple	Afternoon Delight
Jane Lynch	Afternoon Delight
Dwayne Johnson	Gridiron Gang
Christopher McDonald	My Sexiest Year
Louis Mandylor	The Cursed
Christa Campbell	Hyenas
John Goodman	The Artist
James Cromwell	The Artist
Missi Pyle	The Artist
Malcolm McDowell	The Artist
Beth Grant	The Artist
Chris Mulkey	A Teacher's Crime
Ron Jeremy	The Caper
Brad Dourif	The List
Jane Lynch	The List
Seth Rogen	Paul
Bill Hader	Paul
Kristen Wiig	Paul
Jason Bateman	Paul
Jane Lynch	Paul
John Carroll Lynch	Paul
David Koechner	Paul
Sigourney Weaver	Paul
Jeffrey Tambor	Paul
Matthew McConaughey	The Lincoln Lawyer
William H. Macy	The Lincoln Lawyer
Josh Lucas	The Lincoln Lawyer
John Leguizamo	The Lincoln Lawyer
Bryan Cranston	The Lincoln Lawyer
Bob Gunton	The Lincoln Lawyer
M. C. Gainey	The TV Set
Sigourney Weaver	The TV Set
Judy Greer	The TV Set
Philip Baker Hall	The TV Set
David Strathairn	The Spiderwick Chronicles
Seth Rogen	The Spiderwick Chronicles
Taraji P. Henson	Hair Show
Jesse Eisenberg	Adventureland
Kristen Stewart	Adventureland
Ryan Reynolds	Adventureland
Bill Hader	Adventureland
Kristen Wiig	Adventureland
Martin Starr	Adventureland
Seth Rogen	Observe and Report
Ray Liotta	Observe and Report
Danny McBride	Observe and Report
Kevin Bacon	X-Men: First Class
Oliver Platt	X-Men: First Class
Ray Wise	X-Men: First Class
Hugh Jackman	X-Men: First Class
Glenn Morshower	X-Men: First Class
James Remar	X-Men: First Class
Michael Ironside	X-Men: First Class
Tony Curran	X-Men: First Class
Chazz Palminteri	Body Armour
Queen Latifah	Beauty Shop
Michael Madsen	Hell Ride
David Carradine	Hell Ride
Vinnie Jones	Hell Ride
Emily Blunt	Wind Chill
Nicole Kidman	Australia
Hugh Jackman	Australia
Amanda Seyfried	Nine Lives
Aidan Quinn	Nine Lives
Robin Wright	Nine Lives
Dakota Fanning	Nine Lives
Brad Pitt	Inglourious Basterds
Samuel L. Jackson	Inglourious Basterds
Cloris Leachman	Inglourious Basterds
Christoph Waltz	Inglourious Basterds
Will Ferrell	Anchorman: The Legend of Ron Burgundy
Steve Carell	Anchorman: The Legend of Ron Burgundy
Paul Rudd	Anchorman: The Legend of Ron Burgundy
David Koechner	Anchorman: The Legend of Ron Burgundy
Ben Stiller	Anchorman: The Legend of Ron Burgundy
Tim Robbins	Anchorman: The Legend of Ron Burgundy
Luke Wilson	Anchorman: The Legend of Ron Burgundy
Fred Armisen	Anchorman: The Legend of Ron Burgundy
Fred Willard	Anchorman: The Legend of Ron Burgundy
Chris Parnell	Anchorman: The Legend of Ron Burgundy
Seth Rogen	Anchorman: The Legend of Ron Burgundy
Danny Trejo	Anchorman: The Legend of Ron Burgundy
Vince Vaughn	Anchorman: The Legend of Ron Burgundy
Frances Conroy	Catwoman
Tom Cruise	Collateral
Jamie Foxx	Collateral
Bruce McGill	Collateral
Jason Statham	Collateral
Javier Bardem	Collateral
Vince Vaughn	DodgeBall: A True Underdog Story
Ben Stiller	DodgeBall: A True Underdog Story
Rip Torn	DodgeBall: A True Underdog Story
Missi Pyle	DodgeBall: A True Underdog Story
Stephen Root	DodgeBall: A True Underdog Story
Justin Long	DodgeBall: A True Underdog Story
Jason Bateman	DodgeBall: A True Underdog Story
Joel David Moore	DodgeBall: A True Underdog Story
Jane Lynch	Sleepover
Steve Carell	Sleepover
Morgan Freeman	The Hunting of the President
Olivia Wilde	Weird: The Al Yankovic Story
Mary Steenburgen	Weird: The Al Yankovic Story
Brad Pitt	12 Years a Slave
Adam Scott	AIDS: We Did It!
Adam Scott	A.C.O.D.
Jessica Alba	A.C.O.D.
Jane Lynch	A.C.O.D.
Richard Jenkins	A.C.O.D.
Amy Poehler	A.C.O.D.
Adam Scott	Bachelorette
James Marsden	Bachelorette
Louis Mandylor	One in the Chamber
Noel Gugliemi	Splinter
Tom Sizemore	Splinter
Vivica A. Fox	Motives 2: Retribution
Samuel L. Jackson	Captain America: The First Avenger
Toby Jones	Captain America: The First Avenger
Chris Evans	Captain America: The First Avenger
Stanley Tucci	Captain America: The First Avenger
Tommy Lee Jones	Captain America: The First Avenger
Neal McDonough	Captain America: The First Avenger
Keith David	Stomp the Yard: Homecoming
Jonah Hill	Cyrus
John C. Reilly	Cyrus
Matt Walsh	Cyrus
Owen Wilson	How Do You Know
Paul Rudd	How Do You Know
Jack Nicholson	How Do You Know
Kathryn Hahn	How Do You Know
Tom Kenny	Tom and Jerry Meet Sherlock Holmes
Malcolm McDowell	Tom and Jerry Meet Sherlock Holmes
Christopher Walken	The Power of Few
Christian Slater	The Power of Few
John Heard	My Tiny Universe
Ritchie Montgomery	My Future Boyfriend
Fred Willard	My Future Boyfriend
Dwayne Johnson	Pain &amp; Gain
Ed Harris	Pain &amp; Gain
Rob Corddry	Pain &amp; Gain
Anthony Mackie	Pain &amp; Gain
Ken Jeong	Pain &amp; Gain
Juno Temple	The Brass Teapot
Juno Temple	Jack and Diane
Vivica A. Fox	Lord All Men Can't Be Dogs
Vivica A. Fox	Caught on Tape
Cedric the Entertainer	Caught on Tape
Vivica A. Fox	Annie Claus is Coming to Town
Vivica A. Fox	Crosstown
Noel Gugliemi	Crosstown
Vivica A. Fox	In the Hive
Michael Clarke Duncan	In the Hive
Vivica A. Fox	Queen City
Brad Dourif	Fading of the Cries
Elaine Hendrix	Fading of the Cries
Kevin Durand	I Am Number Four
Justin Long	Chronicle
Ben Foster	Chronicle
Alfred Molina	Big Guy
Clint Howard	Big Guy
Malin ?kerman	CBGB
Tom Sizemore	The Nickel Children
Jeremy Sisto	The Nickel Children
Mark Boone Junior	The Nickel Children
Geoffrey Rush	Elizabeth: The Golden Age
Josh Lucas	Stealth
Jamie Foxx	Stealth
Jessica Biel	Stealth
Jeffrey Dean Morgan	Days of Wrath
Ving Rhames	Surrogates
Bruce Willis	Surrogates
James Cromwell	Surrogates
Josh Lucas	Stolen
Jessica Chastain	Stolen
Beth Grant	Stolen
Bruce Willis	Cop Out
Tracy Morgan	Cop Out
Fred Armisen	Cop Out
Rashida Jones	Cop Out
Jennifer Aniston	The Switch
Jason Bateman	The Switch
Patrick Wilson	The Switch
Kevin Corrigan	Harmony and Me
Anthony Mackie	She Hate Me
Woody Harrelson	She Hate Me
Bai Ling	She Hate Me
Keith David	Pastor Brown
Frank Welker	Chill Out, Scooby-Doo!
Alfred Molina	Chill Out, Scooby-Doo!
Jeff Bennett	Chill Out, Scooby-Doo!
Jeff Bennett	Chill Out, Scooby-Doo!
Frank Welker	Chill Out, Scooby-Doo!
Queen Latifah	Life Support
Vinnie Jones	Blast
Vivica A. Fox	Blast
Tom Hanks	The National Parks: America's Best Idea
Josh Lucas	The National Parks: America's Best Idea
Edward Herrmann	A Christmas Wish
John C. Reilly	Criminal
Michael Shannon	Criminal
Ciar?n Hinds	Amazing Grace
Toby Jones	Amazing Grace
Clint Howard	Speed-Dating
Snoop Dogg	Rap Sheet: Hip-Hop and The Cops
Tony Todd	Chiller 13: The Decade's Scariest Movie Moments
Elias Koteas	Jake Squared
Mike Vogel	Jake Squared
Naomi Watts	Sunlight Jr.
Ben Kingsley	A Birder's Guide to Everything
Steven Bauer	Fast Lane
Noel Gugliemi	Trapped in 5150
Rip Torn	Lucky Days
Ron Jeremy	Lost Reality 2: More of the Worst
Tom Hanks	Captain Phillips
Chris Mulkey	Captain Phillips
Joel Michaely	Cruel World
Jessica Chastain	The Help
Mike Vogel	The Help
Allison Janney	The Help
Viola Davis	The Help
Mary Steenburgen	The Help
Ritchie Montgomery	The Help
Diora Baird	Transit
J.D. Evermore	Transit
Diora Baird	The Sexy Dark Ages
Ron Jeremy	Blood Moon Rising
Amy Poehler	Spring Breakdown
Will Arnett	Spring Breakdown
Parker Posey	Spring Breakdown
Jane Lynch	Spring Breakdown
Missi Pyle	Spring Breakdown
Ben Stiller	Danny Roane: First Time Director
Will Arnett	The Brothers Solomon
Will Forte	The Brothers Solomon
Malin ?kerman	The Brothers Solomon
Kristen Wiig	The Brothers Solomon
Bill Hader	The Brothers Solomon
Jenna Fischer	The Brothers Solomon
Lauren Ambrose	A Dog Year
Jeff Bridges	A Dog Year
Will Arnett	The Ambassador
50 Cent	Smack: Vol. 2
Liam Neeson	The Chronicles of Narnia: Prince Caspian
Jesse Eisenberg	The Squid and the Whale
Amy Adams	Doubt
Philip Seymour Hoffman	Doubt
Viola Davis	Doubt
Sean Penn	Milk
James Franco	Milk
Josh Brolin	Milk
Denis O'Hare	Milk
Robert Downey Jr.	The Soloist
Jamie Foxx	The Soloist
Ben Kingsley	Number 13
Ben Kingsley	Salesmen
William H. Macy	Salesmen
Patricia Clarkson	Salesmen
Tim Robbins	Thanks for Sharing
Willem Dafoe	Odd Thomas
50 Cent	Odd Thomas
Naomi Watts	The Bleeder
Liev Schreiber	The Bleeder
Chlo? Moretz	Texas Killing Fields
Jeffrey Dean Morgan	Texas Killing Fields
Jessica Chastain	Texas Killing Fields
Joe Chrest	Texas Killing Fields
Kristen Wiig	Sticky Minds
Steve Coogan	Documental
C. Thomas Howell	Hoboken Hollow
Lin Shaye	Hoboken Hollow
Michael Madsen	Hoboken Hollow
